artist_name,track_name,genre,region,country,subscription_type,streams,active_listeners,completion_rate,month
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Free,175635,17217,0.64,2024-01
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Premium,79818,5907,0.62,2024-01
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Free,40371,4652,0.61,2024-02
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Premium,90366,8858,0.6,2024-02
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Free,108875,13154,0.51,2024-03
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Premium,120526,9722,0.68,2024-03
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Free,114565,9100,0.74,2024-04
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Premium,196439,19553,0.48,2024-04
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Free,218901,14831,0.44,2024-05
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Premium,272749,20535,0.51,2024-05
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Free,23317,1232,0.38,2024-06
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Premium,47022,3174,0.47,2024-06
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Free,75089,4948,0.71,2024-07
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Premium,54468,4575,0.64,2024-07
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Free,129832,10571,0.39,2024-08
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Premium,195839,19616,0.46,2024-08
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Free,27483,2646,0.25,2024-09
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Premium,259394,14837,0.75,2024-09
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Free,137124,14602,0.68,2024-10
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Premium,53648,4309,0.78,2024-10
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Free,170076,10866,0.69,2024-11
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Premium,320955,19264,0.57,2024-11
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Free,130338,9131,0.46,2024-12
Taylor Swift,Taylor Swift Hit Track,Pop,North America,USA,Premium,169536,9042,0.69,2024-12
Taylor Swift,Taylor Swift Hit Track,Pop,North America,Canada,Free,151128,15625,0.55,2024-01
Taylor Swift,Taylor Swift Hit Track,Pop,North America,Canada,Premium,372252,22785,0.89,2024-01
Taylor Swift,Taylor Swift Hit Track,Pop,North America,Canada,Free,161078,10324,0.69,2024-02
Taylor Swift,Taylor Swift Hit Track,Pop,North America,Canada,Premium,153926,8275,0.61,2024-02
Taylor Swift,Taylor Swift Hit Track,Pop,North America,Canada,Free,126111,10672,0.31,2024-03
Taylor Swift,Taylor Swift Hit Track,Pop,North America,Canada,Premium,150434,12299,0.6,2024-03
Taylor Swift,Taylor Swift Hit Track,Pop,North America,Canada,Free,43103,3119,0.6,2024-04
Taylor Swift,Taylor Swift Hit Track,Pop,North America,Canada,Premium,68263,5746,0.71,2024-04
Taylor Swift,Taylor Swift Hit Track,Pop,North America,Canada,Free,82005,9341,0.38,2024-05
Taylor Swift,Taylor Swift Hit Track,Pop,North America,Canada,Premium,146156,14948,0.95,2024-05
